ring_r,n_coords,mean,mean_sd,slope,slope_sd
0.0,1,41.864431818181814,,-0.09436385994167679,
19.0,4,41.64348778409091,0.24128964789746982,-0.09421184451858387,0.0019524452426747355
26.87,4,41.46237443181818,0.3543814205700743,-0.09483966652775395,0.0029450625342011707
38.0,4,41.16884630681818,0.501964641407775,-0.0968025072947403,0.004047658458860633
42.49,8,41.06234819305398,0.5242274915334956,-0.0978873858527849,0.004755461220814787
53.74,4,40.898987784090906,0.714763699929364,-0.1013041454773158,0.006669966604678818
57.0,4,40.901299393977276,0.7953797949132819,-0.10316054313550693,0.006720655130914566
60.08,8,40.942783948863635,0.7718634985251303,-0.10426645373075492,0.007890598915324063
68.51,8,41.34468423295455,0.9179689337579396,-0.10097882555234755,0.017577436510178665
76.0,4,42.193103605397724,1.1496842870524056,-0.11205311458361147,0.011101309717705168
78.34,8,42.594854619730114,1.0782990697985222,-0.11703540691447871,0.011886548745927825
80.61,4,43.08169233403409,1.126097624902091,-0.11133172401379152,0.010103078337941038
84.97,8,44.33140322075284,1.0795435637459947,-0.13023578483423845,0.022054607827235645
95.0,12,49.84871798066288,1.1810953640422295,-0.16505771165614805,0.022867956356362903
96.88,8,49.850732717215905,1.4092173476255052,-0.15554529542105008,0.024856590985341275
