lot_number,n_wafers,a,b,amp,direction_deg,p_cos,p_sin
1,9,-0.2713078036830816,-1.117889479353233,1.1503411721693613,-103.64172435930625,2.3277426272765634e-06,1.2884677859307065e-32
2,10,-0.05529210673279383,-1.168603741833428,1.1699110746095363,-92.70891095538468,0.2976767455281724,6.7717268349080805e-34
3,10,-0.11067773786340718,-1.165697125742833,1.170939516210664,-95.42371980953179,0.03953426945968096,8.697123729958519e-34
4,10,-0.01654331053494351,-1.1910271348090233,1.1911420221681575,-90.79578449133213,0.7619723900314603,1.5124200133743236e-33
5,10,-0.03425890903745277,-1.205705176249654,1.206191794402385,-91.62756446825891,0.544963347626684,6.1257949857827874e-33
6,10,-0.009006378616638333,-1.1793513918407013,1.1793857809437867,-90.43754342926063,0.8816759377408934,1.5763184214239233e-30
7,6,-0.05730166090864497,-1.1922347564289806,1.193610989719917,-92.75165507098734,0.30025105365415916,2.537109220564842e-33
8,10,-0.053564606248108326,-1.1890064372250881,1.1902123654227477,-92.57942439131811,0.3305614591237289,2.290535992531944e-33
9,9,-0.09824797301085586,-1.1719137160736728,1.1760248390754113,-94.79221413612302,0.07140124491459995,1.8061390289735004e-33
10,4,-0.06037975078115698,-1.1516321031953753,1.1532138636933733,-93.00125376833752,0.2693088429997181,1.0132904254929455e-32
