set,n_wafers,value,slope,ci_lo,ci_hi,p,wafer_mean_sd,level
89pt 전체,88,si_etch_mean,-0.11884790787040334,-0.13387120050635393,-0.10382461523445276,8.495373590029228e-26,0.40190875132259074,43.66811988323162
89pt 전체,88,oxide_etch_mean,-0.00011537604938442227,-0.0015429031937734005,0.001312151095004556,0.8725638983465461,0.0436400372744808,0.6581481070597549
89pt 전체,88,selectivity,-0.15795893503060893,-0.3024262771583973,-0.013491592902820537,0.03252793226304382,4.6757215737353635,66.65383478946715
89pt 보간점제외,88,si_etch_mean,-0.1152964027146005,-0.12952088188487332,-0.10107192354432767,2.0096688729312136e-26,0.38987880041400363,43.62784165601324
89pt 보간점제외,88,oxide_etch_mean,-0.00011283868851752412,-0.001537892645876459,0.0013122152688414108,0.8751283253556529,0.043617722494149753,0.6581238159614486
89pt 보간점제외,88,selectivity,-0.15313476297742445,-0.300973910806696,-0.005295615148152882,0.04252475465659915,4.721771130476457,66.59824867309113
89pt→9점grid,88,si_etch_mean,-0.10531032224282073,-0.11870708089932662,-0.09191356358631485,1.2344766455268512e-25,0.356929990579649,41.58142193068182
89pt→9점grid,88,oxide_etch_mean,-0.0005950318348020894,-0.0020611751241042904,0.0008711114545001113,0.42149553941700313,0.033675983003146746,0.6635030954305555
89pt→9점grid,88,selectivity,-0.09812865172033042,-0.23323538794499657,0.036978084504335734,0.15216342216356046,3.1999473357683095,62.827763654641785
9pt 원본,75,si_etch_mean,-0.10560052955082744,-0.11911760187340667,-0.0920834572282482,8.008678909997565e-24,0.3463347408009538,40.23312281481481
9pt 원본,75,oxide_etch_mean,-0.0033279810874704526,-0.0035775441218029004,-0.0030784180531380047,5.124151052961104e-37,0.010321692266404456,0.6183677037037038
9pt 원본,75,selectivity,0.17899681700983427,0.16554702909099553,0.19244660492867302,5.7843901591851705e-37,0.5997775866741142,65.07270635613123
