lot_number,cond_type,cond_rep,cond_label,date,n_wafers,level_mean,slope,ci_lo,ci_hi,p_value,r2,pct_per_10w,value
1,Chuck,3,Chuck_3x,2024-07-02,9,43.679407365792756,-0.12323795880149468,-0.17234685212742998,-0.07412906547555939,0.0005793075062930361,0.8341711055137622,-2.5043280596120763,si_etch_mean
2,Chuck,1,Chuck_1x,2024-07-05,10,43.530817249584274,-0.1366955642253962,-0.1822063799318615,-0.09118474851893088,0.00012127491756308301,0.8570747615774825,-2.7828542206656945,si_etch_mean
3,Chuck,9,Chuck_9x,2024-07-09,10,43.76188526241573,-0.11943912665917367,-0.16352634296929364,-0.07535191034905371,0.0002464233170528827,0.8298923962530063,-2.4329241605656007,si_etch_mean
4,Si,3,Si_3x,2024-07-11,10,43.72847767149438,-0.16046202961048373,-0.21835349791034353,-0.10257056131062393,0.00021098677085087573,0.836247095112649,-3.2594870462627763,si_etch_mean
5,Si,1,Si_1x,2024-07-19,10,43.481077736662925,-0.1138216938474601,-0.15961161527678247,-0.06803177241813772,0.0004378903376753546,0.8041960433046458,-2.3116635720680794,si_etch_mean
6,Si,9,Si_9x,2024-08-01,10,43.557539101123595,-0.11252694586312151,-0.17700786617361874,-0.04804602555262426,0.0038184711276001747,0.6693479842233869,-2.3147224427702993,si_etch_mean
7,SiO2,3,SiO2_3x,2024-08-05,6,43.71914962546816,-0.11158879614767425,-0.2164932825760288,-0.0066843097193197,0.04182962509526108,0.6855915525224191,-2.291292782170315,si_etch_mean
8,SiO2,3,SiO2_3x,2024-08-07,10,43.61383743051685,-0.05576079117738919,-0.08912163092909761,-0.022399951425680763,0.00484750401109208,0.6499836406540205,-1.1472243236874775,si_etch_mean
9,Chuck,3,Chuck_3x,2024-08-21,9,43.807340574282144,-0.13214068321855565,-0.1792530510838965,-0.0850283153532148,0.0002953227167831209,0.8627109661809484,-2.6850775901578277,si_etch_mean
10,SiO2,3,SiO2_3x,2024-08-22,4,44.09064399823034,-0.12816046055056418,-0.4043534597081534,0.14803253860702503,0.18397528633352575,0.6658963333144476,-2.6015327438776614,si_etch_mean
1,Chuck,3,Chuck_3x,2024-07-02,9,74.42047144118607,0.21075845423221828,0.15688444235170107,0.2646324661127355,3.56679548869396e-05,0.9243838218126356,2.5774242332547863,selectivity
2,Chuck,1,Chuck_1x,2024-07-05,10,74.88243739091153,0.1679878314817529,0.11618717424927621,0.21978848871422957,7.071753593547334e-05,0.8748531618959884,2.0363122721565547,selectivity
3,Chuck,9,Chuck_9x,2024-07-09,10,64.8892811807618,-1.0198996389966055,-1.876062374275734,-0.16373690371747684,0.02517474114667435,0.48540139203035126,-12.456125854314237,selectivity
4,Si,3,Si_3x,2024-07-11,10,63.061766869013,-0.0022210685977146483,-0.11214123911691419,0.1076991019214849,0.9639777384995798,0.0002713197978619908,-0.03151925752173287,selectivity
5,Si,1,Si_1x,2024-07-19,10,64.52671095814846,0.26739249856671865,-0.04501511940256542,0.5798001165360027,0.08385841035852122,0.3274829447787778,3.7173688204369975,selectivity
6,Si,9,Si_9x,2024-08-01,10,65.74463594977006,-0.64874581276566,-0.9404593980782324,-0.3570322274530876,0.0008979041380493563,0.766763947456936,-8.665326254001837,selectivity
7,SiO2,3,SiO2_3x,2024-08-05,6,63.889283590904874,-0.27113994206399816,-0.4413131172876276,-0.1009667668403687,0.011477381822879452,0.8302901980309383,-3.7961549714331317,selectivity
8,SiO2,3,SiO2_3x,2024-08-07,10,63.78655333030305,-0.15133351854234078,-0.24360191522301655,-0.059065121861665,0.005371408809731406,0.6413342291230664,-2.1165286328567228,selectivity
9,Chuck,3,Chuck_3x,2024-08-21,9,64.22080566218817,-0.18274939457714368,-0.31069251437713874,-0.05480627477714861,0.01179815268713226,0.6197266379382023,-2.543964623772992,selectivity
10,SiO2,3,SiO2_3x,2024-08-22,4,66.37910230205816,1.9248444320880012,-2.7660542929123624,6.615743157088365,0.21951670291822672,0.6091541770236361,26.704538591601416,selectivity
