lot_number,cond_type,cond_rep,cond_label,date,n_wafers,level_mean,slope,ci_lo,ci_hi,ci_width,p_value,r2,pct_per_10w,value
1,Chuck,3,Chuck_3x,2024-07-02,10,40.307895555555554,-0.1030079461279425,-0.14478654796759344,-0.06122934428829157,0.08355720367930186,0.00046198918008591124,0.801617499226441,-2.27128773587349,si_etch_mean
2,Chuck,1,Chuck_1x,2024-07-05,10,40.182773333333344,-0.11069872053871777,-0.14973794897856146,-0.07165949209887407,0.0780784568796874,0.00018057342664965276,0.8423849538034908,-2.4492339110391583,si_etch_mean
3,Chuck,9,Chuck_9x,2024-07-09,10,40.293794444444444,-0.11459683501683404,-0.14383688542302303,-0.08535678461064505,0.05848010081237798,1.797118519658927e-05,0.9107927080465753,-2.532568889725347,si_etch_mean
4,Si,3,Si_3x,2024-07-11,10,40.27109111111112,-0.1333501683501659,-0.18762867110501583,-0.07907166559531595,0.10855700550969988,0.000472944659414965,0.8004790971742866,-2.9467077797896195,si_etch_mean
5,Si,1,Si_1x,2024-07-19,10,40.07622444444445,-0.08452148148147831,-0.12358101104706348,-0.04546195191589313,0.07811905913117034,0.0010660737033171524,0.7568393300217728,-1.8687463269885012,si_etch_mean
6,Si,9,Si_9x,2024-08-01,10,40.14747333333334,-0.09806989898989693,-0.1488066808442323,-0.04733311713556158,0.10147356370867072,0.0021186179072208073,0.7129284529797215,-2.1897783439183516,si_etch_mean
7,SiO2,3,SiO2_3x,2024-08-05,5,40.31785111111111,-0.061484444444440456,-0.22158234945142496,0.09861346056254405,0.320195810013969,0.3089020715565006,0.33240788765849405,-1.3731395957979753,si_etch_mean
9,Chuck,3,Chuck_3x,2024-08-21,10,40.31024333333333,-0.10030606060605818,-0.13827122552341833,-0.062340895688698016,0.07593032983472031,0.00029184516752831007,0.8226936796042965,-2.2167490433876593,si_etch_mean
1,Chuck,3,Chuck_3x,2024-07-02,10,65.36459752562041,0.19565015780908723,0.1595545048245292,0.23174581079364526,0.07219130596911605,1.5704582249158706e-06,0.9512885034801116,2.7278474240530524,selectivity
2,Chuck,1,Chuck_1x,2024-07-05,10,65.5606299095001,0.1453926854783152,0.10698619852307018,0.1837991724335602,0.07681297391049002,2.3175585431467055e-05,0.9049962685115075,2.0114220885563343,selectivity
3,Chuck,9,Chuck_9x,2024-07-09,10,64.87267374577908,0.1613949128580412,0.09820433338343885,0.22458549233264352,0.12638115894920465,0.0003659471543855485,0.8125992820730057,2.2499360315386308,selectivity
4,Si,3,Si_3x,2024-07-11,10,64.99816557735357,0.1755931711973604,0.1435213023695791,0.2076650400251417,0.06414373765556258,1.4543775743855755e-06,0.9522101235791367,2.4638238235330596,selectivity
5,Si,1,Si_1x,2024-07-19,10,65.14952958251317,0.16660354453113513,0.13491576614819428,0.19829132291407597,0.06337555676588169,1.982015330248649e-06,0.948385712510212,2.329973090221475,selectivity
6,Si,9,Si_9x,2024-08-01,10,64.80504454243899,0.1907149423149761,0.14713114005717443,0.23429874457277777,0.08716760451560335,7.93474457317583e-06,0.9271545008372424,2.693123510524954,selectivity
7,SiO2,3,SiO2_3x,2024-08-05,5,64.51393517835643,0.2555734955573481,0.12335765064712823,0.38778934046756797,0.26443168982043974,0.008642619255335913,0.9265481934298492,3.5869428993645385,selectivity
9,Chuck,3,Chuck_3x,2024-08-21,10,65.0376891986006,0.2083462832378462,0.18246616231394827,0.23422640416174415,0.051760241847795874,7.309658591379027e-08,0.9773136373480349,2.9217103485657177,selectivity
