feature,Ridge_coef,Lasso_coef,abs_max
PlatenRFTuningCapacitor__mean,-0.04637195913281558,-0.14268349908334477,0.14268349908334477
SourceRFPeakToPeak__range,0.02036778986115848,0.10781584130725812,0.10781584130725812
SourceRFReflectedPower__range,-0.036899133199873764,-0.09916109921700733,0.09916109921700733
PlatenRFPeakToPeak__std,-0.017542745796536616,-0.07646939236255076,0.07646939236255076
Heater2Temp__mean,0.03774661501154998,0.05167543499234109,0.05167543499234109
ForeLinePressure__std,-0.011270029590945875,-0.04788061173086383,0.04788061173086383
Heater2Temp__slope,-0.037771824852853096,-0.046384076469455894,0.046384076469455894
Gas2Flow__std,0.027928686743331176,0.04421927883586829,0.04421927883586829
SourceRFReflectedPower__mean,-0.039645976516598416,-0.019694264317758794,0.039645976516598416
Gas4Flow__slope,-0.020856786336688964,-0.03962729147639737,0.03962729147639737
PlatenRFReflectedPower__range,0.037446715183194326,0.029114493448216507,0.037446715183194326
PlatenRFTuningCapacitor__std,0.02947400755606123,0.02376975297423669,0.02947400755606123
Gas7Flow__slope,0.028463019971957725,0.02444803588733004,0.028463019971957725
is_first_wafer,-0.018964432775342488,-0.026576146236835345,0.026576146236835345
Heater3Temp__range,0.025061865724575822,0.01820410601008958,0.025061865724575822
Heater2Temp__std,-0.024465855743694184,-0.0,0.024465855743694184
Gas7Flow__mean,-0.0244154615964349,-0.008546118104421362,0.0244154615964349
PlatenDcBias__std,0.024105137622794807,0.00939148634951234,0.024105137622794807
Gas2Flow__range,0.023515772314099705,0.0,0.023515772314099705
Heater3Temp__mean,-0.02200982327992077,-0.014680024553138517,0.02200982327992077
ForeLinePressure__mean,-0.021760709388684008,-0.0,0.021760709388684008
Gas7Flow__std,0.017792272830436075,0.021122130559828624,0.021122130559828624
SourceRFLoadPower__range,0.020020839272578396,0.0,0.020020839272578396
SourceRF2PeakToPeak__slope,-0.01862674085662868,-0.005707165544547252,0.01862674085662868
Pressure__range,0.018208359221836896,0.0,0.018208359221836896
Heater4Temp__std,0.01792633087108998,0.010231862139726607,0.01792633087108998
Heater4Temp__range,-0.01687889335198782,-0.01711591065989387,0.01711591065989387
SourceRFReflectedPower__slope,-0.01710130160227841,-0.0,0.01710130160227841
PlatenRFLoadPower__range,0.016823038593311274,0.0,0.016823038593311274
Gas2Flow__mean,0.015978329230377366,0.005593014226800666,0.015978329230377366
Gas1Flow__slope,0.013581931256607793,0.015900843390679653,0.015900843390679653
PlatenDcBias__range,0.015711288015524686,0.01011038674391576,0.015711288015524686
PlatenRFTuningCapacitor__range,0.014994599659960646,-0.0,0.014994599659960646
SourceRF2TuningCapacitor__slope,0.010039296950927732,0.014786439857199131,0.014786439857199131
PlatenRFReflectedPower__slope,0.011922354653611838,0.013821551698794413,0.013821551698794413
PlatenDcBias__mean,-0.012551276976157759,-0.0,0.012551276976157759
Gas1Flow__range,0.012488901717986669,0.008608681222672148,0.012488901717986669
SourceRFReflectedPower__std,-0.012135505223741119,-0.0,0.012135505223741119
moriInnerCurrent__slope,0.011901818522720606,0.011687589832035983,0.011901818522720606
PlatenRFLoadCapacitor__mean,0.011456229648451157,0.0,0.011456229648451157
HeliumBPFlow__std,-0.011129648018500072,-0.0,0.011129648018500072
Pressure__std,-0.010742329415273238,-0.0,0.010742329415273238
Gas2Flow__slope,-0.008218080573439748,-0.010441374861811355,0.010441374861811355
Heater2Temp__range,-0.010061764569612205,-0.0,0.010061764569612205
PlatenRFLoadCapacitor__slope,-0.009461464485017227,-0.0,0.009461464485017227
PlatenRFReflectedPower__mean,-0.00930756729760638,-0.0,0.00930756729760638
PlatenRFLoadCapacitor__range,0.008509093198114144,0.0,0.008509093198114144
Gas5Flow__std,-0.008021735635480852,-0.0,0.008021735635480852
Gas1Flow__std,0.007737757614342292,0.0,0.007737757614342292
HeliumBPPressure__std,0.0076168250217345575,0.0,0.0076168250217345575
HeliumBPPressure__range,-0.00752907737929511,-0.0,0.00752907737929511
Gas4Flow__std,0.007433195939610624,0.0,0.007433195939610624
HeliumBPFlow__mean,0.007399483113468939,-0.0,0.007399483113468939
Gas5Flow__mean,0.007378009461304073,0.0,0.007378009461304073
ForeLinePressure__range,-0.006936858740073521,-0.0,0.006936858740073521
PlatenRFPeakToPeak__mean,-0.006808308636899482,0.0,0.006808308636899482
