grid,label,tol_pct,lsl,usl,mean,sigma,cp,cpk,ppm
9pt,웨이퍼평균/단기,3,39.026129130370364,41.44011649925926,40.23312281481481,0.2116635361680545,1.9008055682709117,1.9008055682709117,0.011812063586855813
9pt,웨이퍼평균/장기,3,39.026129130370364,41.44011649925926,40.23312281481481,0.34633474080095394,1.1616831370069742,1.1616831370069742,492.0461707011599
9pt,전측정점/장기,3,39.02612913037037,41.44011649925927,40.23312281481482,1.02248643791014,0.3934831927653479,0.3934831927653479,237821.45325263983
9pt,웨이퍼평균/단기,5,38.22146667407407,42.24477895555555,40.23312281481481,0.2116635361680545,3.1680092804515083,3.1680092804515083,2.019252199916932e-15
9pt,웨이퍼평균/장기,5,38.22146667407407,42.24477895555555,40.23312281481481,0.34633474080095394,1.9361385616782838,1.9361385616782838,0.0063066775906372345
9pt,전측정점/장기,5,38.22146667407408,42.24477895555556,40.23312281481482,1.02248643791014,0.6558053212755774,0.6558053212755774,49135.275420859936
89pt,웨이퍼평균/단기,3,42.35807628673467,44.978163479728565,43.66811988323162,0.24952525578438403,1.7500480961720914,1.7500480961720914,0.15198011725257482
89pt,웨이퍼평균/장기,3,42.35807628673467,44.978163479728565,43.66811988323162,0.4019087513225909,1.0865182641465165,1.0865182641465165,1115.8722416590788
89pt,전측정점/장기,3,42.35807628673466,44.97816347972855,43.668119883231604,3.6099347059018867,0.1209665089283706,0.1209665089283706,716679.9402575531
89pt,웨이퍼평균/단기,5,41.484713889070036,45.8515258773932,43.66811988323162,0.24952525578438403,2.916746826953492,2.916746826953492,2.1289856741490417e-12
89pt,웨이퍼평균/장기,5,41.484713889070036,45.8515258773932,43.66811988323162,0.4019087513225909,1.8108637735775315,1.8108637735775315,0.055541512991984725
89pt,전측정점/장기,5,41.48471388907002,45.851525877393186,43.668119883231604,3.6099347059018867,0.20161084821395142,0.20161084821395142,545290.267134421
