grid,chart,rule,lot_number,wafer_number,value
9pt,원자료 I,R4: 3중 2점이 2시그마 밖,1,3,40.76216666666667
9pt,원자료 I,R4: 3중 2점이 2시그마 밖,3,3,40.69205555555556
9pt,원자료 I,R3: 6연속 단조,3,8,40.05622222222222
9pt,원자료 I,R3: 6연속 단조,3,9,39.98883333333333
9pt,원자료 I,R1: 3시그마 밖,3,10,39.58426666666666
9pt,원자료 I,R3: 6연속 단조,3,10,39.58426666666666
9pt,원자료 I,R4: 3중 2점이 2시그마 밖,4,3,40.79787777777778
9pt,원자료 I,R3: 6연속 단조,4,8,39.78094444444445
9pt,원자료 I,R1: 3시그마 밖,4,9,39.5544
9pt,원자료 I,R3: 6연속 단조,4,9,39.5544
9pt,원자료 I,R4: 3중 2점이 2시그마 밖,4,9,39.5544
9pt,원자료 I,R3: 6연속 단조,6,7,39.75341111111111
89pt,원자료 I,R4: 3중 2점이 2시그마 밖,2,10,43.10430337078652
89pt,원자료 I,R4: 3중 2점이 2시그마 밖,3,3,44.266009562584266
89pt,원자료 I,R3: 6연속 단조,3,8,43.50429716483146
89pt,원자료 I,R3: 6연속 단조,3,9,43.42807412224719
89pt,원자료 I,R3: 6연속 단조,3,10,42.98307262797753
89pt,원자료 I,R4: 3중 2점이 2시그마 밖,4,3,44.32450595134832
89pt,원자료 I,R3: 6연속 단조,4,7,43.214110956853936
89pt,원자료 I,R3: 6연속 단조,4,8,43.135930337078655
89pt,원자료 I,R3: 6연속 단조,4,9,42.94292808988764
89pt,원자료 I,R4: 3중 2점이 2시그마 밖,4,9,42.94292808988764
89pt,원자료 I,R4: 3중 2점이 2시그마 밖,5,10,43.02462584269663
89pt,원자료 I,R3: 6연속 단조,6,7,42.97732808988764
89pt,원자료 I,R4: 3중 2점이 2시그마 밖,9,3,44.198883146067416
89pt,잔차 I,R4: 3중 2점이 2시그마 밖,4,9,-0.36749221730745774
89pt,잔차 I,R3: 6연속 단조,6,7,-0.4456039659926887
